Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Iran, Islamic Rep.",IRN,0.452M,0.573M,0.764M,1.008M,1.321M,1.342M,1.402M,1.585M,1.546M,1.659M,1.889M,2.735M,2.219M,2.034M,2.116M,2.938M,3.354M,3.834M,4.769M,4.968M,5.237M,4.942M,4.867M,7.295M,9.107M,1.55M
Iraq,IRQ,0.061M,0.051M,0.015M,0.045M,0.03M,0.078M,0.127M,,,,,,,0.864M,1.262M,1.518M,1.51M,1.111M,0.892M,,,,,,,
Iceland,ISL,0.211M,0.223M,0.223M,0.255M,0.281M,0.328M,0.329M,0.315M,0.348M,0.405M,0.429M,0.477M,0.539M,0.561M,0.563M,0.559M,0.628M,0.765M,0.9M,1.102M,1.389M,1.891M,2.353M,2.488M,2.202M,0.488M
Israel,ISR,2.53M,2.36M,2.295M,2.2M,2.566M,2.672M,1.219M,0.862M,,1.506M,1.916M,1.834M,2.294M,3.034M,2.74M,3.444M,3.362M,3.52M,3.54M,3.251M,3.109M,3.07M,3.863M,4.389M,4.905M,
Italy,ITA,55.706M,59.805M,57.998M,58.499M,59.521M,62.702M,60.96M,63.561M,63.026M,58.48M,59.23M,66.353M,70.271M,70.719M,71.692M,73.225M,75.866M,76.293M,76.762M,77.694M,81.068M,84.925M,89.931M,93.229M,95.399M,38.419M
Jamaica,JAM,1.752M,1.821M,1.904M,1.899M,2.013M,2.23M,2.117M,2.131M,2.483M,2.515M,2.615M,3.016M,2.88M,2.859M,2.753M,2.832M,3.077M,3.306M,3.274M,3.504M,3.692M,3.837M,4.276M,4.319M,4.233M,1.33M
Jordan,JOR,3.277M,3.164M,3.068M,3.438M,3.231M,2.7M,3.034M,4.677M,4.6M,5.587M,5.817M,6.573M,6.529M,7.1M,7.085M,8.078M,6.813M,6.314M,5.389M,5.327M,4.809M,4.236M,4.565M,4.922M,5.361M,1.24M
Japan,JPN,3.345M,3.837M,4.218M,4.106M,4.438M,4.757M,4.772M,5.239M,5.212M,6.138M,6.728M,7.334M,8.347M,8.351M,6.79M,8.611M,6.219M,8.358M,10.364M,13.413M,19.737M,24.039M,28.691M,31.191M,31.881M,4.116M
Kazakhstan,KAZ,,0.202M,0.284M,0.257M,0.394M,1.683M,2.693M,3.678M,3.237M,4.291M,4.365M,4.707M,5.311M,4.117M,3.774M,4.097M,5.685M,6.163M,6.841M,6.333M,6.43M,6.509M,7.701M,8.789M,8.515M,2.035M
Kenya,KEN,0.974M,1.003M,1.001M,0.894M,0.969M,1.037M,0.994M,1.001M,1.146M,1.361M,1.479M,1.601M,1.817M,1.203M,1.49M,1.609M,1.823M,1.711M,1.52M,1.35M,1.181M,1.34M,1.449M,2.025M,2.049M,
Kyrgyz Republic,KGZ,,,,0.29M,0.165M,0.173M,0.199M,0.183M,0.342M,0.398M,0.319M,0.766M,1.656M,2.379M,2.451M,1.224M,3.025M,3.393M,4.134M,3.791M,4.0M,3.853M,4.568M,6.947M,8.508M,
Cambodia,KHM,0.22M,0.26M,0.219M,0.287M,0.368M,0.466M,0.605M,0.787M,0.701M,1.055M,1.422M,1.7M,2.015M,2.125M,2.162M,2.508M,2.882M,3.584M,4.21M,4.503M,4.775M,5.012M,5.602M,6.201M,6.611M,1.306M
Kiribati,KIR,,,,,0.02M,0.013M,0.014M,0.12M,0.13M,0.064M,0.05M,0.011M,0.032M,,,,,,,0.008M,0.008M,0.008M,0.008M,0.009M,0.012M,
St. Kitts and Nevis,KNA,0.203M,0.172M,0.194M,0.25M,0.226M,0.247M,0.334M,0.24M,0.247M,0.383M,0.365M,0.35M,0.379M,0.533M,0.548M,0.624M,0.723M,0.666M,0.695M,0.818M,1.036M,1.055M,1.194M,1.278M,1.107M,0.301M
"Korea, Rep.",KOR,3.753M,3.684M,3.908M,4.25M,4.66M,5.322M,5.147M,5.347M,4.753M,5.818M,6.023M,6.155M,6.448M,6.891M,7.818M,8.798M,9.795M,11.14M,12.176M,14.202M,13.232M,17.242M,13.336M,15.347M,17.503M,2.519M
Kuwait,KWT,1.443M,1.565M,1.638M,1.763M,1.884M,1.944M,2.072M,2.316M,2.602M,3.056M,3.474M,3.899M,4.482M,4.736M,5.088M,5.208M,5.574M,5.729M,6.217M,6.528M,6.941M,7.055M,7.407M,8.508M,8.565M,2.161M
Latin America & Caribbean (excluding high income),LAC,118.76M,122.092M,124.223M,128.597M,131.143M,135.852M,129.632M,128.165M,122.615M,132.973M,139.294M,136.738M,135.404M,136.305M,130.549M,128.009M,124.212M,126.982M,129.584M,136.667M,145.821M,156.33M,165.093M,164.604M,165.233M,
Lao PDR,LAO,0.346M,0.403M,0.463M,0.5M,0.614M,0.737M,0.674M,0.736M,0.636M,0.895M,1.095M,1.215M,1.624M,1.737M,2.008M,2.513M,2.724M,3.33M,3.779M,4.159M,4.684M,4.239M,3.869M,4.186M,4.791M,0.886M
Lebanon,LBN,0.45M,0.424M,0.558M,0.631M,0.673M,0.742M,0.837M,0.956M,1.016M,1.278M,1.14M,1.063M,1.017M,1.333M,1.844M,2.168M,1.655M,1.366M,1.274M,1.355M,1.518M,1.688M,1.857M,1.964M,1.936M,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,1.832M,1.276M,0.913M,0.85M,0.965M,0.963M,0.953M,0.858M,0.958M,,,0.125M,0.106M,0.76M,,,,,,,,,,,,
St. Lucia,LCA,0.407M,0.422M,0.563M,0.629M,0.666M,0.727M,0.747M,0.648M,0.683M,0.791M,0.72M,0.67M,0.905M,0.925M,0.982M,0.984M,0.95M,0.889M,0.921M,0.987M,1.031M,0.948M,1.064M,1.165M,1.22M,0.432M
Latin America & Caribbean,LCN,140.093M,144.212M,147.783M,152.444M,154.423M,161.345M,155.631M,152.948M,148.08M,161.111M,167.84M,165.383M,164.051M,165.006M,158.419M,157.336M,155.234M,159.17M,162.605M,171.231M,182.042M,193.556M,202.721M,201.522M,201.856M,
Least developed countries: UN classification,LDC,5.473M,6.658M,6.958M,7.095M,7.951M,8.411M,8.823M,9.811M,9.708M,11.145M,12.956M,14.53M,16.999M,18.005M,18.594M,20.467M,23.22M,26.002M,28.996M,31.645M,33.503M,32.625M,34.558M,38.556M,40.176M,
Low income,LIC,,,,,,,4.423M,5.834M,5.908M,7.428M,7.489M,7.947M,8.225M,9.78M,10.644M,13.44M,11.066M,11.79M,12.106M,12.211M,11.563M,13.029M,14.021M,17.022M,17.41M,
Liechtenstein,LIE,0.059M,0.056M,0.057M,0.059M,0.06M,0.062M,0.056M,0.049M,0.049M,0.048M,0.05M,0.055M,0.073M,0.073M,0.066M,0.064M,0.067M,0.062M,0.06M,0.061M,0.057M,0.069M,0.079M,0.085M,0.098M,0.058M
Sri Lanka,LKA,0.414M,0.315M,0.384M,0.409M,0.465M,0.445M,0.397M,0.457M,0.583M,0.681M,0.669M,0.689M,0.592M,0.526M,0.538M,0.766M,0.976M,1.133M,1.415M,1.665M,1.993M,2.168M,2.248M,2.521M,2.027M,0.54M
Lower middle income,LMC,40.349M,44.942M,56.688M,53.669M,57.315M,60.823M,61.303M,64.049M,69.067M,82.273M,88.54M,96.433M,112.971M,120.779M,117.207M,126.945M,125.757M,136.178M,142.765M,140.616M,145.156M,146.764M,166.574M,192.814M,207.722M,
Low & middle income,LMY,277.743M,296.977M,319.785M,325.18M,346.142M,376.461M,382.836M,403.925M,394.043M,453.547M,486.277M,503.389M,543.032M,562.444M,548.334M,578.189M,585.014M,607.554M,626.413M,634.344M,658.163M,673.875M,731.331M,782.001M,814.041M,
Lesotho,LSO,0.209M,0.312M,0.313M,0.29M,0.308M,0.302M,0.295M,0.287M,0.329M,0.304M,0.304M,0.357M,0.3M,0.293M,0.344M,0.426M,0.398M,0.423M,0.433M,1.079M,1.082M,1.196M,1.137M,1.173M,1.142M,
Late-demographic dividend,LTE,208.727M,226.459M,237.061M,246.545M,266.218M,284.253M,271.214M,272.907M,267.563M,312.413M,331.645M,347.356M,369.42M,367.076M,353.529M,375.169M,394.674M,413.362M,430.929M,437.116M,460.462M,479.145M,508.82M,532.235M,549.832M,
Lithuania,LTU,2.6M,3.497M,3.702M,4.287M,4.454M,4.092M,4.195M,3.999M,3.635M,,,,4.251M,4.459M,4.001M,4.073M,4.504M,4.979M,5.264M,5.217M,5.048M,5.322M,5.59M,6.115M,6.15M,2.284M
Luxembourg,LUX,0.768M,0.724M,0.778M,0.789M,0.863M,0.852M,0.836M,0.885M,0.867M,0.878M,0.913M,0.908M,0.914M,0.877M,0.847M,0.805M,0.874M,0.95M,0.945M,1.038M,1.09M,1.054M,1.046M,1.018M,1.041M,0.525M
Latvia,LVA,1.633M,1.75M,1.842M,1.788M,1.738M,1.882M,2.061M,2.297M,2.524M,3.127M,3.791M,4.649M,5.209M,5.496M,4.727M,5.042M,5.538M,5.569M,5.822M,6.246M,6.842M,6.797M,7.726M,7.775M,8.342M,3.204M
"Macao SAR, China",MAC,7.752M,8.151M,7.0M,6.949M,7.444M,9.162M,10.279M,11.531M,11.888M,16.673M,18.711M,21.998M,27.003M,22.933M,21.753M,24.965M,28.002M,28.082M,29.325M,31.526M,30.715M,30.95M,32.611M,35.804M,39.406M,5.897M
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,2.752M,2.856M,3.203M,3.267M,4.088M,4.458M,4.596M,4.709M,5.021M,5.732M,6.077M,6.777M,7.701M,8.209M,8.661M,9.752M,9.784M,9.83M,10.349M,10.507M,10.542M,10.677M,11.54M,12.489M,13.109M,2.802M
Monaco,MCO,0.233M,0.226M,0.259M,0.278M,0.278M,0.3M,0.27M,0.263M,0.235M,0.25M,0.286M,0.313M,0.328M,0.324M,0.265M,0.279M,0.295M,0.292M,0.328M,0.329M,0.331M,0.336M,0.355M,0.347M,0.363M,0.159M
Moldova,MDA,0.032M,0.029M,0.021M,0.019M,0.014M,0.018M,0.016M,0.018M,0.021M,0.069M,0.067M,0.063M,0.07M,0.073M,0.06M,0.064M,0.075M,0.089M,0.096M,0.094M,0.094M,0.121M,0.145M,0.16M,0.174M,0.029M
Madagascar,MDG,0.115M,,,,,,,,,,,,,,,,,,,,0.282M,0.333M,0.285M,0.36M,0.486M,0.087M
Maldives,MDV,0.315M,0.339M,0.366M,0.396M,0.43M,0.467M,0.461M,0.485M,0.564M,0.617M,0.395M,0.602M,0.676M,0.683M,0.656M,0.792M,0.931M,0.958M,1.125M,1.205M,1.234M,1.286M,1.39M,1.484M,1.703M,0.555M
Middle East & North Africa,MEA,,,,,,,,,,80.627M,83.146M,90.007M,99.102M,115.02M,113.027M,130.362M,111.859M,124.596M,125.861M,133.162M,126.209M,119.351M,127.054M,139.804M,152.571M,
Mexico,MEX,85.446M,90.394M,92.915M,95.214M,99.869M,105.673M,100.718M,100.153M,92.33M,99.25M,103.146M,97.701M,93.582M,92.948M,88.044M,81.953M,75.732M,76.749M,78.1M,81.042M,87.129M,94.853M,99.349M,96.497M,97.406M,51.128M
Marshall Islands,MHL,0.006M,0.006M,0.006M,0.006M,0.005M,0.005M,0.005M,0.006M,0.007M,0.009M,0.009M,0.006M,0.007M,0.006M,0.005M,0.005M,0.005M,0.005M,,0.005M,0.006M,0.005M,0.006M,0.007M,0.006M,
Middle income,MIC,272.242M,290.884M,313.607M,319.024M,339.71M,369.018M,375.001M,394.155M,384.234M,441.446M,473.914M,490.341M,529.428M,546.648M,531.428M,557.355M,567.578M,589.199M,607.531M,615.264M,639.289M,655.231M,711.195M,758.858M,790.163M,
North Macedonia,MKD,0.147M,0.136M,0.121M,0.157M,0.181M,0.224M,0.099M,0.123M,0.158M,0.165M,0.197M,0.202M,0.23M,0.255M,0.259M,0.262M,0.327M,0.351M,0.4M,0.425M,0.486M,0.51M,0.631M,0.707M,0.758M,0.118M
Mali,MLI,0.042M,0.098M,0.075M,0.083M,0.082M,0.086M,0.089M,0.096M,0.11M,0.113M,0.143M,0.153M,0.164M,0.19M,0.16M,0.169M,0.16M,0.134M,0.142M,0.168M,0.159M,0.173M,0.193M,0.203M,0.217M,
Malta,MLT,1.193M,1.123M,1.238M,1.326M,1.402M,1.387M,1.439M,1.483M,1.512M,1.428M,1.484M,1.521M,1.723M,1.832M,1.608M,1.815M,1.916M,2.007M,2.013M,2.162M,2.383M,2.592M,2.944M,3.232M,3.519M,0.718M
Myanmar,MMR,0.194M,0.49M,0.491M,0.478M,0.435M,0.416M,0.475M,0.487M,0.597M,0.657M,0.66M,0.63M,0.716M,0.731M,0.763M,0.792M,0.816M,1.059M,2.044M,3.081M,4.681M,2.907M,3.443M,3.551M,4.364M,0.903M
Middle East & North Africa (excluding high income),MNA,19.191M,19.511M,20.051M,20.887M,23.818M,25.594M,25.76M,29.063M,30.68M,37.57M,38.948M,42.01M,44.628M,50.431M,53.337M,62.925M,50.268M,53.405M,51.879M,51.969M,47.237M,41.374M,48.55M,58.808M,65.756M,
Montenegro,MNE,,,,,,,,0.136M,0.142M,0.188M,0.272M,0.378M,0.984M,1.031M,1.044M,1.088M,1.201M,1.264M,1.324M,1.35M,1.56M,1.662M,1.877M,2.077M,2.51M,0.351M
Mongolia,MNG,0.108M,0.071M,0.082M,0.197M,0.16M,0.158M,0.192M,0.235M,0.205M,0.305M,0.345M,0.408M,0.455M,0.469M,0.465M,0.557M,0.627M,0.624M,0.515M,0.506M,0.467M,0.471M,0.543M,0.598M,0.637M,0.067M
Northern Mariana Islands,MNP,0.676M,0.736M,0.695M,0.49M,0.502M,0.529M,0.444M,0.476M,0.459M,0.536M,0.507M,0.436M,0.389M,0.397M,0.354M,0.379M,0.341M,0.401M,0.439M,0.46M,0.479M,0.531M,0.66M,0.518M,0.487M,
Mozambique,MOZ,,,,,,,0.404M,0.943M,0.726M,0.711M,0.954M,1.095M,1.259M,1.439M,1.711M,1.836M,2.013M,2.206M,1.97M,1.751M,1.634M,1.715M,1.514M,2.87M,2.033M,
Mauritania,MRT,,,,,0.024M,0.03M,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,0.437M,0.509M,0.558M,0.579M,0.6M,0.678M,0.675M,0.709M,0.721M,0.739M,0.782M,0.807M,0.933M,0.97M,0.89M,0.956M,0.983M,0.984M,1.015M,1.065M,1.174M,1.307M,1.371M,1.431M,1.418M,0.316M
Malawi,MWI,0.192M,0.194M,0.207M,0.22M,0.254M,0.228M,0.266M,0.383M,0.424M,0.427M,0.438M,0.638M,0.735M,0.742M,0.755M,0.746M,0.767M,0.77M,0.795M,0.819M,0.805M,0.849M,0.837M,0.871M,,
Malaysia,MYS,7.469M,7.138M,6.211M,5.551M,7.931M,10.222M,12.775M,13.292M,10.577M,15.703M,16.431M,17.547M,20.973M,22.052M,23.646M,24.577M,24.714M,25.033M,25.715M,27.437M,25.721M,26.757M,25.948M,25.832M,26.101M,4.333M
North America,NAC,121.946M,126.582M,128.163M,123.389M,125.4M,127.52M,118.58M,109.814M,101.468M,106.929M,108.161M,217.203M,206.332M,203.623M,185.758M,188.476M,172.989M,197.558M,205.053M,204.449M,205.017M,206.045M,206.061M,201.365M,198.713M,
Namibia,NAM,0.421M,0.56M,0.61M,0.681M,0.694M,0.759M,0.7M,0.799M,0.739M,0.986M,0.856M,0.961M,1.048M,1.079M,1.1M,1.114M,1.163M,1.245M,1.327M,1.429M,1.488M,1.551M,1.581M,1.639M,1.651M,0.187M
New Caledonia,NCL,0.086M,0.091M,0.105M,0.104M,0.1M,0.11M,0.101M,0.104M,0.102M,0.1M,0.101M,0.1M,0.103M,0.104M,0.099M,0.099M,0.112M,0.112M,0.108M,0.107M,0.114M,0.116M,0.121M,0.12M,0.13M,0.031M
Niger,NER,0.035M,0.068M,0.068M,0.041M,0.039M,0.05M,0.052M,0.039M,0.055M,0.057M,0.058M,0.06M,0.048M,0.073M,0.066M,0.074M,0.082M,0.094M,0.123M,0.135M,0.135M,0.152M,0.164M,0.157M,0.192M,0.085M
Nigeria,NGA,1.031M,1.23M,1.292M,1.357M,1.425M,1.492M,1.753M,2.046M,2.253M,2.646M,2.778M,3.056M,5.239M,5.82M,6.053M,6.113M,3.765M,4.673M,4.038M,4.803M,6.017M,5.265M,,,,
Nicaragua,NIC,0.341M,0.388M,0.453M,0.483M,0.53M,0.581M,0.584M,0.579M,0.646M,0.735M,0.804M,0.891M,0.978M,1.011M,1.01M,1.071M,1.122M,1.233M,1.273M,1.39M,1.456M,1.596M,1.958M,1.412M,1.455M,0.474M
Netherlands,NLD,6.574M,6.58M,7.841M,9.312M,9.874M,10.003M,9.5M,9.595M,9.181M,9.646M,10.012M,10.739M,11.008M,10.104M,9.921M,10.883M,11.3M,11.68M,12.783M,13.925M,15.007M,15.828M,17.924M,18.78M,20.129M,7.265M
Norway,NOR,2.88M,2.746M,2.702M,3.256M,3.223M,3.104M,3.073M,3.111M,3.269M,3.628M,3.824M,4.07M,4.377M,4.347M,4.346M,4.767M,4.963M,4.538M,4.778M,4.855M,5.361M,5.96M,6.252M,5.688M,5.879M,1.397M
Nepal,NPL,0.363M,0.394M,0.422M,0.464M,0.492M,0.464M,0.361M,0.275M,0.338M,0.385M,0.375M,0.384M,0.527M,0.5M,0.51M,0.603M,0.736M,0.803M,0.798M,0.79M,0.539M,0.753M,0.94M,1.173M,1.197M,0.23M
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,1.409M,1.529M,1.497M,1.485M,1.607M,1.787M,1.909M,2.045M,2.104M,2.334M,2.366M,2.409M,2.455M,2.483M,2.473M,2.53M,2.617M,2.574M,2.71M,2.854M,3.129M,3.494M,3.723M,3.858M,3.888M,0.996M
OECD members,OED,795.118M,831.173M,856.884M,869.659M,883.338M,914.41M,857.416M,845.245M,829.226M,883.811M,917.094M,1057.049M,1057.757M,1052.02M,1012.277M,1023.509M,1038.728M,1089.41M,1129.791M,1163.739M,1200.191M,1244.329M,1299.261M,1331.201M,1364.525M,
Oman,OMN,,,,,,,1.095M,1.112M,1.21M,1.407M,1.101M,1.385M,1.36M,1.54M,1.584M,1.5M,1.393M,1.714M,1.923M,2.225M,2.634M,3.207M,3.178M,3.242M,3.506M,0.869M
Other small states,OSS,16.652M,16.884M,18.57M,19.11M,20.547M,22.029M,22.7M,23.252M,23.525M,25.485M,25.761M,28.0M,30.899M,32.781M,32.487M,37.844M,33.747M,36.2M,39.517M,42.942M,43.654M,46.851M,49.98M,51.524M,51.93M,
Pakistan,PAK,0.378M,0.369M,0.375M,0.429M,0.432M,0.557M,0.5M,0.498M,0.501M,0.648M,0.798M,0.898M,0.84M,0.823M,0.855M,0.907M,1.161M,0.966M,,,,,,,,
Panama,PAN,0.417M,0.443M,0.504M,0.529M,0.555M,0.6M,0.737M,0.8M,0.897M,1.004M,1.07M,1.215M,1.428M,1.575M,1.562M,1.726M,2.004M,2.086M,2.202M,2.305M,2.553M,2.379M,2.517M,2.487M,2.494M,0.647M
Peru,PER,,,,,,,,,,1.65M,1.938M,2.227M,2.451M,2.581M,2.681M,2.948M,3.299M,3.642M,4.01M,4.062M,4.381M,4.718M,4.992M,5.384M,5.275M,1.119M
Philippines,PHL,1.76M,2.049M,2.223M,2.149M,2.171M,1.992M,1.797M,1.933M,1.907M,2.291M,2.623M,2.843M,3.092M,3.139M,3.017M,3.52M,3.917M,4.273M,4.681M,4.833M,5.361M,5.967M,6.621M,7.168M,8.261M,1.483M
Palau,PLW,0.053M,0.069M,0.074M,0.064M,0.055M,0.058M,0.054M,0.059M,0.063M,0.089M,0.081M,0.082M,0.088M,0.081M,0.071M,0.085M,0.111M,0.12M,0.108M,0.14M,0.162M,0.138M,0.123M,0.106M,0.094M,0.018M
Papua New Guinea,PNG,,,,,,,,,,,,,,0.12M,0.126M,0.146M,0.165M,0.175M,0.182M,0.191M,0.199M,0.198M,0.182M,0.195M,0.211M,0.039M
Poland,POL,82.244M,87.439M,87.817M,88.592M,89.118M,84.515M,61.431M,50.735M,52.13M,61.918M,64.606M,65.115M,66.208M,59.935M,53.84M,58.34M,60.745M,67.39M,72.31M,73.75M,77.743M,80.476M,83.804M,85.946M,88.515M,
Pre-demographic dividend,PRE,5.604M,6.361M,6.655M,6.706M,7.482M,7.837M,8.49M,9.598M,9.756M,11.372M,12.788M,14.208M,17.964M,18.545M,19.842M,21.206M,20.093M,21.34M,20.781M,21.409M,24.065M,24.363M,,,,
Puerto Rico,PRI,4.087M,4.11M,4.35M,4.671M,4.221M,4.566M,4.908M,4.364M,4.402M,4.889M,5.073M,5.022M,5.062M,5.213M,4.415M,4.379M,4.214M,4.197M,4.21M,4.456M,5.051M,5.003M,4.927M,4.26M,4.931M,3.882M
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,9.511M,9.73M,10.172M,11.295M,11.632M,12.097M,12.167M,11.644M,11.707M,10.639M,10.612M,11.282M,6.788M,6.962M,6.439M,6.756M,7.264M,7.503M,9.177M,10.497M,11.723M,13.359M,15.432M,16.186M,17.283M,4.208M
Paraguay,PRY,15.678M,12.868M,10.955M,9.818M,6.569M,3.924M,3.55M,3.194M,2.859M,2.589M,2.648M,2.83M,3.005M,3.118M,3.183M,3.171M,3.365M,3.655M,3.538M,3.455M,4.102M,4.318M,4.744M,4.183M,4.368M,1.077M
West Bank and Gaza,PSE,,0.22M,0.21M,0.2M,0.3M,0.31M,0.043M,0.033M,0.037M,0.056M,0.088M,0.123M,0.264M,0.387M,0.396M,0.522M,0.449M,0.49M,0.545M,0.556M,0.432M,0.4M,0.503M,0.606M,0.688M,0.093M
Pacific island small states,PSS,,,,,,,,,,,,,1.082M,1.203M,1.241M,1.35M,1.427M,1.52M,1.571M,1.591M,1.676M,1.837M,1.886M,1.929M,1.752M,
Post-demographic dividend,PST,625.507M,654.993M,686.265M,686.678M,702.247M,745.501M,734.363M,745.62M,739.424M,791.914M,822.568M,972.285M,984.896M,981.137M,943.254M,968.796M,994.043M,1040.612M,1080.304M,1105.378M,1128.13M,1175.948M,1223.167M,1257.775M,1275.198M,
French Polynesia,PYF,0.186M,0.184M,0.201M,0.211M,0.236M,,,,,,,,0.243M,0.227M,0.19M,0.179M,0.196M,0.21M,0.214M,0.228M,0.239M,0.241M,0.254M,0.264M,0.3M,0.089M
Qatar,QAT,,,,,,,,,,,,,,,1.482M,1.7M,2.057M,2.324M,2.612M,2.839M,2.941M,2.938M,2.256M,1.819M,2.136M,0.582M
Romania,ROU,5.445M,5.205M,5.149M,4.831M,5.224M,5.264M,4.938M,4.794M,5.595M,6.6M,5.839M,6.037M,7.722M,8.862M,7.575M,7.498M,7.611M,7.937M,8.019M,8.442M,9.331M,10.223M,10.926M,11.72M,12.815M,5.023M
Russian Federation,RUS,10.29M,16.208M,17.463M,16.188M,18.82M,21.169M,21.595M,23.309M,22.521M,22.064M,22.201M,22.486M,22.909M,23.676M,21.339M,22.281M,24.932M,28.177M,30.792M,32.421M,33.729M,24.571M,24.39M,24.551M,24.419M,6.359M
Rwanda,RWA,,,,,,,,,,,,0.531M,0.61M,0.669M,0.664M,0.667M,0.908M,1.061M,1.122M,1.22M,1.298M,1.377M,1.57M,1.711M,1.634M,
South Asia,SAS,3.943M,4.07M,4.314M,4.447M,4.706M,5.029M,4.693M,4.528M,5.212M,6.372M,6.697M,7.6M,8.429M,8.726M,8.419M,9.476M,10.854M,11.239M,12.15M,19.662M,20.005M,22.127M,23.793M,26.713M,27.103M,
Saudi Arabia,SAU,4.398M,,,,,,,,,11.083M,10.417M,10.962M,13.479M,17.717M,13.319M,13.025M,15.776M,19.847M,19.934M,23.01M,21.834M,20.887M,18.607M,17.57M,20.292M,
Sudan,SDN,0.029M,0.038M,0.03M,0.036M,0.039M,0.038M,0.05M,0.052M,0.052M,0.061M,0.246M,0.328M,0.436M,0.44M,0.42M,0.495M,0.536M,0.575M,0.591M,0.684M,0.741M,0.8M,0.813M,0.836M,,
Senegal,SEN,,,,,,,,,0.502M,0.677M,0.779M,0.876M,0.879M,0.877M,0.815M,0.906M,0.977M,0.967M,1.069M,0.976M,1.014M,1.219M,1.376M,,,
Singapore,SGP,7.137M,7.292M,7.198M,6.242M,6.958M,7.691M,7.522M,7.567M,6.127M,8.329M,8.943M,9.751M,10.285M,10.116M,9.683M,11.642M,13.171M,14.496M,15.568M,15.095M,15.232M,16.403M,17.425M,18.508M,19.116M,2.742M
Solomon Islands,SLB,0.012M,0.01M,0.014M,0.016M,,0.005M,,,0.007M,0.006M,0.009M,0.012M,0.014M,0.016M,0.018M,0.02M,0.023M,0.024M,0.024M,0.02M,0.022M,0.023M,0.026M,0.028M,0.029M,0.004M
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,0.075M,0.095M,0.053M,0.031M,0.06M,0.059M,0.066M,0.071M,
El Salvador,SLV,,,,,,0.867M,0.804M,0.885M,0.798M,1.03M,1.306M,1.501M,1.72M,1.875M,1.482M,1.606M,1.634M,1.738M,1.822M,1.886M,1.973M,2.052M,2.247M,2.536M,2.639M,0.707M
San Marino,SMR,3.368M,3.345M,3.308M,3.264M,3.148M,3.071M,3.036M,3.102M,2.882M,2.812M,2.107M,2.136M,2.164M,2.112M,2.056M,1.976M,2.038M,1.869M,1.905M,2.004M,1.888M,2.0M,1.937M,1.874M,1.904M,
Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,,,,,,,,0.312M,0.339M,0.392M,0.453M,0.469M,0.696M,0.646M,0.645M,0.683M,0.764M,0.81M,0.922M,1.029M,1.132M,1.281M,1.497M,1.711M,1.847M,0.446M
Sub-Saharan Africa (excluding high income),SSA,14.193M,16.05M,16.643M,17.778M,19.153M,19.438M,20.378M,22.024M,22.796M,24.57M,26.229M,29.608M,34.49M,35.56M,36.522M,40.139M,40.526M,42.98M,44.485M,46.265M,48.672M,50.877M,52.497M,56.247M,55.555M,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,14.324M,16.195M,16.783M,17.915M,19.286M,19.581M,20.519M,22.162M,22.926M,24.699M,26.368M,29.762M,34.665M,35.738M,36.704M,40.335M,40.742M,43.202M,44.729M,46.511M,48.979M,51.223M,52.9M,56.673M,56.014M,
Small states,SST,26.85M,28.033M,29.836M,30.787M,32.724M,35.394M,35.693M,36.595M,38.157M,42.166M,41.471M,43.973M,47.057M,48.541M,49.159M,55.249M,51.989M,54.647M,58.06M,62.561M,63.974M,71.729M,75.794M,78.865M,79.086M,
Sao Tome and Principe,STP,0.006M,0.006M,0.005M,0.006M,0.006M,0.007M,0.008M,0.009M,0.01M,0.011M,0.016M,0.012M,0.012M,0.014M,0.015M,0.008M,0.012M,,,,0.026M,0.029M,0.029M,0.033M,,
Suriname,SUR,0.069M,0.074M,0.078M,0.07M,0.072M,0.072M,0.068M,,0.1M,,,0.154M,0.167M,0.151M,0.151M,0.206M,0.221M,0.24M,0.25M,0.253M,0.229M,0.257M,0.279M,,,
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,12.583M,11.556M,14.936M,17.376M,15.406M,15.299M,,
Slovenia,SVN,0.732M,0.832M,0.974M,0.977M,0.884M,1.09M,1.219M,1.302M,1.373M,1.499M,1.555M,1.617M,1.751M,1.958M,1.824M,2.049M,2.236M,2.377M,2.502M,2.675M,3.022M,3.397M,3.991M,4.425M,4.702M,1.216M
Sweden,SWE,2.31M,2.376M,2.388M,2.573M,2.595M,3.828M,4.108M,4.276M,4.268M,4.676M,4.883M,4.729M,5.224M,4.555M,4.899M,5.183M,11.567M,12.372M,10.98M,10.522M,6.482M,6.782M,7.054M,7.44M,7.616M,1.957M
